utt,intent,partition
the timer is calculated for 10 minutes,timer,val
set the timer for 10 minutes,timer,val
can you set a 30 second timer,timer,val
please set a timer to go off in 45 minutes,timer,val
i need you to create a timer,timer,val
i need a timer set please,timer,val
create a timer that is set to go off after 25 mins,timer,val
i need a timer that is set at 1 hour exactly,timer,val
could you set up a timer for me,timer,val
will you start a timer for me,timer,val
set up a 52 minute timer,timer,val
please set up a timer for me,timer,val
set 60 minutes for oven please,timer,val
please make the timer for cooking for for 2 hours,timer,val
may i please have a definition for the work churlish,definition,val
i want to know what trenchant means,definition,val
what is the meaning of fascism,definition,val
can you tell me what a septuagenarian is,definition,val
can you define the word schadenfreude,definition,val
what does unsavory mean,definition,val
please define erection for me,definition,val
what does idiosyncratic mean,definition,val
tell me the meaning of condemnation,definition,val
define monetary for me please,definition,val
tell me the meaning of hegemony,definition,val
what does indignation mean,definition,val
define ambivalence for me please,definition,val
please define institutional racism,definition,val
define antagonist for me please,definition,val
what does distinguish mean,definition,val
what is the meaning of word alliance,definition,val
i need to know what dominate means,definition,val
what is the definition of the word migrate,definition,val
tell me please what paean means,definition,val
i want to know what the purpose of life is,meaning_of_life,val
i want to hear what you think lifes purpose is about,meaning_of_life,val
what do you think the purpose of life is,meaning_of_life,val
what is the purpose of existence,meaning_of_life,val
what do you think our purpose is in life,meaning_of_life,val
id like to know the meaning of life,meaning_of_life,val
whats your opinion on the meaning of life,meaning_of_life,val
what is lifes purpose,meaning_of_life,val
tell me all about the meaning of life,meaning_of_life,val
tell me your thoughts about the meaning of life,meaning_of_life,val
do you have any ideas on the meaning of life,meaning_of_life,val
do you know the deeper meaning of life,meaning_of_life,val
tell me the meaning of life,meaning_of_life,val
can you tell me what is the meaning of life,meaning_of_life,val
what is the meaning behind life do you think,meaning_of_life,val
what is our purpose,meaning_of_life,val
what do you think we are on earth for,meaning_of_life,val
what do you think life is really about,meaning_of_life,val
do you think we have a higher calling,meaning_of_life,val
why are humans on earth,meaning_of_life,val
explain how do i get new insurance,insurance_change,val
tell me how to get new insurance,insurance_change,val
explain to me how do i get new insurance,insurance_change,val
i want to get new insurance,insurance_change,val
can you tell me how do i get new insurance,insurance_change,val
id like to know how changes are made to my insurance policy,insurance_change,val
how can i make changes for my insurance policy,insurance_change,val
can you tell me how changes on my insurance policy can be made,insurance_change,val
id like to know how to make changes for my insurance policy,insurance_change,val
could you tell me how to make changes to my insurance policy,insurance_change,val
tell me how to change my policy,insurance_change,val
i need to switch insurance plans,insurance_change,val
can you help me switch insurance plans,insurance_change,val
tell me how to make changes to my insurance policy,insurance_change,val
how do i switch to a new insurance plan,insurance_change,val
can you help me switch to a new insurance plan,insurance_change,val
how can i change information on my insurance policy,insurance_change,val
how do i make changes to my insurance policy,insurance_change,val
tell me how to change my insurance policy,insurance_change,val
i need to change my insurance policy how,insurance_change,val
please help me in finding my phone,find_phone,val
please help me find my lost phone,find_phone,val
i need your help finding my lost phone,find_phone,val
help me find my phone please,find_phone,val
tell me where i left my phone,find_phone,val
what did i do with my phone,find_phone,val
can you tell me where my phone is,find_phone,val
what happened to my cellphone,find_phone,val
do you remember where i left my cellphone,find_phone,val
where is my cellphone,find_phone,val
do you know where my cellphone is,find_phone,val
i have lost my phone,find_phone,val
help me i dont know where my phone is,find_phone,val
tell me my phones location,find_phone,val
where would my phone be,find_phone,val
i need to know my phones location,find_phone,val
help locate my phone,find_phone,val
can you find me my phone,find_phone,val
track down my phone for me,find_phone,val
my phone is lost and i need help finding it,find_phone,val
is traveling to france safe,travel_alert,val
is france safe to travel to,travel_alert,val
i need to know is traveling to france safe,travel_alert,val
can i travel to france as far as safety goes,travel_alert,val
can i safely travel to france or is it dangerous,travel_alert,val
are there any current travel alerts for brazil,travel_alert,val
are there any travel alerts for seattle,travel_alert,val
how safe is it to travel to guatemala right now and are there any alerts,travel_alert,val
are there any travel alerts for juarez,travel_alert,val
whats the danger level of flying to russia right now,travel_alert,val
are there any travel alerts for antarctica,travel_alert,val
are there any travel alerts for mountain view,travel_alert,val
does mexico have any travel alerts i should know about,travel_alert,val
does greece currently have any travel alerts in place,travel_alert,val
are there any travel alerts for brazil,travel_alert,val
how safe is it to visit spain,travel_alert,val
how safe is visiting canada this week,travel_alert,val
have the riots in france triggered any alerts for people traveling to there,travel_alert,val
is there any danger going to brazil,travel_alert,val
is it safe to travel to mexico,travel_alert,val
please request pto for march 2 and 3,pto_request,val
i am requesting pto for march 2 and 3,pto_request,val
can you please request pto for march 2 and 3,pto_request,val
i would like to request pto for march 2 and 3,pto_request,val
i need to request pto for march 2 and 3,pto_request,val
let me know how to make a vacation request,pto_request,val
i need to make a vacation request; how,pto_request,val
can i put in a pto request for may 1 to may 5,pto_request,val
tell me how to make a vacation request,pto_request,val
i would like to know if i can put a pto request in for march 19 to march 20,pto_request,val
am i able to put in a pto request for may 6 to may 18,pto_request,val
provide assistance on what to do to make a vacation request,pto_request,val
i need to know how to make a vacation request,pto_request,val
i need to know if i can put a pto request in for march 10 to march 12,pto_request,val
tell me whether i can put a pto request in for may 10 to may 15,pto_request,val
what is the process for making a vacation request,pto_request,val
whats the method for requesting a vacation,pto_request,val
what are the steps required for making a vacation request,pto_request,val
please help me make a request for vacation,pto_request,val
i have a vacation request that i need made,pto_request,val
what are some ways to raise my credit score,improve_credit_score,val
what will help my credit score,improve_credit_score,val
are there any videos on how to repair my credit score,improve_credit_score,val
what can i do to get a better credit score,improve_credit_score,val
will getting a credit card help my credit score,improve_credit_score,val
what are the top 10 ways to build my credit score,improve_credit_score,val
how can i build up my credit score,improve_credit_score,val
how can i build my credit score,improve_credit_score,val
what are some easy ways to make my credit score better,improve_credit_score,val
how do i prevent my credit score from dropping,improve_credit_score,val
how should i go about improving my credit score,improve_credit_score,val
how can i make sure that my credit score does not decrease,improve_credit_score,val
what is the best way to insure that my credit score doesnt decrease,improve_credit_score,val
what things can i do to increase my credit score,improve_credit_score,val
what is the best way to keep my credit score from going down,improve_credit_score,val
what is the best thing for me to do to improve my credit score quickly,improve_credit_score,val
how can i safeguard my credit score from dropping,improve_credit_score,val
do i have options on how to improve my credit score,improve_credit_score,val
what steps can i take to improve my credit score,improve_credit_score,val
show me a plan to help my credit score rating,improve_credit_score,val
tell me something interesting about lake tahoe,fun_fact,val
tell me a cool fact about reno,fun_fact,val
tell me something interesting about new york state,fun_fact,val
give me a cool fact about new orleans,fun_fact,val
give me a cool fact about seattle,fun_fact,val
tell me something interesting about elephants,fun_fact,val
tell me something interesting about dogs,fun_fact,val
give me a cool fact about potatoes,fun_fact,val
give me a cool fact about puppies,fun_fact,val
give me a cool fact about lsd,fun_fact,val
tell me a fun fact about the moon landing,fun_fact,val
whats a fun fact about axolotls,fun_fact,val
tell me a fact about the maned wolf,fun_fact,val
give me harry potter trivia,fun_fact,val
tell me an axolotl fact,fun_fact,val
i need a spider fact,fun_fact,val
show me trivia about cats,fun_fact,val
read me some different cat trivia items,fun_fact,val
find me cat trivia now please,fun_fact,val
read me cat trivia,fun_fact,val
i need new language,change_language,val
switch language for me,change_language,val
please change your language setting to russian,change_language,val
you must change your language setting to russian,change_language,val
you need to change your language setting to russian please,change_language,val
change language please,change_language,val
please change your language setting to spanish now,change_language,val
change your language setting to spanish,change_language,val
i want new language,change_language,val
please change the language,change_language,val
speak arabic,change_language,val
speak navajo,change_language,val
speak german,change_language,val
speak french,change_language,val
speak mandarin,change_language,val
change response language from mandarin to english,change_language,val
please respond to me in english from now on,change_language,val
please change your response language to english,change_language,val
how can i change your response language,change_language,val
change the language to english,change_language,val
whens the next time i get paid,payday,val
whens my next paycheck coming in,payday,val
whats the date of my next paycheck,payday,val
when do i get my paycheck,payday,val
which day is pay day,payday,val
which day is it that my payment comes in,payday,val
when am i paid or how often,payday,val
how many days until i get my payment,payday,val
what was the last check date,payday,val
when was i paid most recently,payday,val
what was the date of my last paycheck,payday,val
when did i get my check last,payday,val
how long has it been since i was paid,payday,val
how many times do i get paid in march,payday,val
what date is the next payday,payday,val
i am trying to find out when is the next payday,payday,val
what date is the next day i get paid,payday,val
when is the next payday,payday,val
what is my pay,payday,val
how much is on my paycheck this week,payday,val
whats the time of arrival on my new credit card,replacement_card_duration,val
tell me the duration it takes to get a new cc,replacement_card_duration,val
is it a short time before i receive my new credit card,replacement_card_duration,val
how long before my updated cc takes to arrive,replacement_card_duration,val
how long does it take a new card to arrive in the mail to me,replacement_card_duration,val
what is the length of time it takes a new card to get mailed to me,replacement_card_duration,val
about how long does it usually take a new card to get mailed to me,replacement_card_duration,val
how much time does it take a new card to get mailed to me,replacement_card_duration,val
how soon does it take a card new card to get mailed to me,replacement_card_duration,val
after losing a credit card how long does it take to get a new one,replacement_card_duration,val
if i lose my credit card will i get a replacement immediately,replacement_card_duration,val
what is the time frame for receiving a new credit card if my original one gets lost,replacement_card_duration,val
will i have to wait a long time to receive my new credit card after i lost my old one,replacement_card_duration,val
how long should i expect to wait for my replacement credit card,replacement_card_duration,val
will my new credit card be here this week,replacement_card_duration,val
how long does it usually take for a new credit card to come,replacement_card_duration,val
what is the eta on getting a replacement card,replacement_card_duration,val
show tracking information on my replacement credit card,replacement_card_duration,val
when will i get my replacement card,replacement_card_duration,val
will it take more than a month to get a new card,replacement_card_duration,val
what time is it in france,time,val
whats the time in london right now,time,val
what hour is it in london,time,val
whats the time,time,val
what is the time in london,time,val
i need to know what time it is,time,val
what time of day is it in london,time,val
tell me what time it is,time,val
what time of day is it,time,val
what time is it in the pacific timezone,time,val
what time is it in pacific standard time,time,val
what time is it over in pacific time,time,val
what time is in over there in pacific standard time,time,val
what time is it in the pacific standard time,time,val
what is the time in paris now,time,val
time in manhattan,time,val
how late is it now in ourense,time,val
what is the current time right now in hollywood,time,val
what time is it now in michigan,time,val
whats the clock say,time,val
what is the present status of my credit card application,application_status,val
what is the current status of my credit card application,application_status,val
in what status is my credit card application currently in,application_status,val
how far along is my credit card application,application_status,val
what is the status of my credit card application looking like,application_status,val
pull up my credit card applications current status,application_status,val
has my credit card application processed yet,application_status,val
check the status of my credit card application please,application_status,val
has my card application successfully gone through,application_status,val
go to the credit card site and check if my application has gone through,application_status,val
has my credit card application been approved yet,application_status,val
can you check on the status of my credit card application,application_status,val
i would like to know if my visa card application has been approved,application_status,val
can you let me know if my visa card has been approved,application_status,val
at what point will the review of my credit card application be completed,application_status,val
can you check if my mastercard application has been reviewed yet,application_status,val
has my visa card application been approved yet,application_status,val
please let me know how my credit card application is going,application_status,val
when will my credit card application be reviewed,application_status,val
please let me know if my discover card application has been approved,application_status,val
when is my flight going to board,flight_status,val
when am i boarding my flight,flight_status,val
at what time should i be boarding my flight,flight_status,val
can you please update the status of flight dl123,flight_status,val
when is the expected arrival of flight dl123,flight_status,val
is flight dl123 due to land as schedule,flight_status,val
will flight dl123 be on time,flight_status,val
are there any expected delays for flight dl123,flight_status,val
i would like to know flight dl123s status,flight_status,val
tell me flight dl123s statud,flight_status,val
for flight dl123 whats the status,flight_status,val
could you tell me the status of flight dl123,flight_status,val
when is my flight expected to arrive,flight_status,val
at what time is my flight scheduled to land,flight_status,val
what time is my flight going to land,flight_status,val
ostensibly when is my flight going to land,flight_status,val
when is my flight going to arrive,flight_status,val
what time does my flight board,flight_status,val
what is the boarding time for my upcoming flight,flight_status,val
when is my flight boarding,flight_status,val
flip a normal coin,flip_coin,val
flip a heads or tails coin i pick heads,flip_coin,val
flip a coin i choose heads,flip_coin,val
please flip a coin - i call heads,flip_coin,val
can you flip a coin i pick heads,flip_coin,val
please flip coin ai,flip_coin,val
flip a coin now,flip_coin,val
please flip a coin,flip_coin,val
i need you to flip a coin,flip_coin,val
flip coin ai,flip_coin,val
please go ahead and flip a coin,flip_coin,val
flip the coin ai,flip_coin,val
please flip coin,flip_coin,val
i wanna flip a coin,flip_coin,val
please flip the coin,flip_coin,val
please flip the coin over ai,flip_coin,val
im wanting you to flip a coin,flip_coin,val
flip me a coin,flip_coin,val
i want you to flip a coin now,flip_coin,val
i call tails and you call heads on this coin flip i need you to do,flip_coin,val
will you start calling me chaz,change_user_name,val
stop calling me charlie and from now on always call me chip,change_user_name,val
from now on refer to me as chuck,change_user_name,val
please call me charlile from here on out ok,change_user_name,val
i want you to call me a different name so can you call me charchar,change_user_name,val
please change my name to tom,change_user_name,val
from now on my name is tom,change_user_name,val
i want to be called tom,change_user_name,val
please call me tom,change_user_name,val
you can call me jason,change_user_name,val
my name is jason,change_user_name,val
jason is my name,change_user_name,val
i prefer to be called jason,change_user_name,val
i am jason,change_user_name,val
you shall address me as nick,change_user_name,val
my name is nick,change_user_name,val
refer to me as nick,change_user_name,val
the name is nick,change_user_name,val
you could say my name is nick,change_user_name,val
i am camile,change_user_name,val
what place were you born at,where_are_you_from,val
where were you born as a kid,where_are_you_from,val
tell me where you were created,where_are_you_from,val
what place were you made at,where_are_you_from,val
what place were you actually born at,where_are_you_from,val
what place do you come from,where_are_you_from,val
where do you hale from,where_are_you_from,val
what place were you born,where_are_you_from,val
where are you from before you got here,where_are_you_from,val
let me know when you were made,where_are_you_from,val
where you from,where_are_you_from,val
where are you from if i may ask,where_are_you_from,val
where are you from oroginally,where_are_you_from,val
where are you originally from before coming here,where_are_you_from,val
whats your home town,where_are_you_from,val
what country are you from,where_are_you_from,val
are you from here,where_are_you_from,val
were you made here,where_are_you_from,val
where did you come from,where_are_you_from,val
you were made where,where_are_you_from,val
im not sure if watermelon is on my shopping list but if it isnt can you put it on there,shopping_list_update,val
is it possible to add grapes to my shopping list if they arent on there already,shopping_list_update,val
please add bananas to my shopping list unless i already did,shopping_list_update,val
can you add apples to my shopping list if they arent already on there,shopping_list_update,val
would you be willing to add bread to my shopping list if i havent already,shopping_list_update,val
im out of cleaning supplies remind me on my list,shopping_list_update,val
i dont have any more steak please put that on my grocery list,shopping_list_update,val
im out of apples add that to my list,shopping_list_update,val
i have no oranges put them onto my list,shopping_list_update,val
do i have peanuts on my shopping list if not please add it,shopping_list_update,val
do i have soda on my shopping list if not please add it,shopping_list_update,val
im out of kleenex so will you put that on my shopping list,shopping_list_update,val
im out of paper towels so will you put that on my shopping list,shopping_list_update,val
im out of toilet paper so will you put that on my shopping list,shopping_list_update,val
do i have graham crackers on my shopping list if not please add it,shopping_list_update,val
im out of clorox wipes so will you put that on my shopping list,shopping_list_update,val
do i have tortillas on my shopping list if not please add it,shopping_list_update,val
im out of laundry detergent so will you put that on my shopping list,shopping_list_update,val
do i have cheese on my shopping list if not please add it,shopping_list_update,val
id like you to add oranges to my shopping list,shopping_list_update,val
what categories of questions can you answer,what_can_i_ask_you,val
what kind of questions can i ask the ai,what_can_i_ask_you,val
can you tell me what i can ask the ai,what_can_i_ask_you,val
what types of things can i ask the ai,what_can_i_ask_you,val
what kind of things can i ask the ai,what_can_i_ask_you,val
what can i ask the ai,what_can_i_ask_you,val
what questions can you answer,what_can_i_ask_you,val
what am i allowed to ask you,what_can_i_ask_you,val
what all can i ask you,what_can_i_ask_you,val
what are you capable of doing and answering,what_can_i_ask_you,val
what are you capable of answering,what_can_i_ask_you,val
what kinds of subjects do you know about,what_can_i_ask_you,val
what are the different subjects that you know,what_can_i_ask_you,val
which kinds of info are you familiar with,what_can_i_ask_you,val
what kind of information do you know,what_can_i_ask_you,val
which subjects can you tell me about,what_can_i_ask_you,val
can i ask you all different types of questions,what_can_i_ask_you,val
can you answer all types of questions,what_can_i_ask_you,val
what topics can you answer questions on,what_can_i_ask_you,val
what kind of questions can you answer,what_can_i_ask_you,val
i do not have that information,maybe,val
i cant give you an answer to that,maybe,val
i do not know the answer to that,maybe,val
perhaps,maybe,val
possibly either one,maybe,val
i dont have any idea,maybe,val
cant say,maybe,val
i couldnt say either could be possible,maybe,val
which one i dont know either i guess,maybe,val
i just dont know,maybe,val
dont have any idea,maybe,val
i couldnt say,maybe,val
i dont know the anwser,maybe,val
couldnt tell you,maybe,val
either i am not sure,maybe,val
either of them could be im not sure,maybe,val
dont know,maybe,val
idk,maybe,val
i dont have an answer for that,maybe,val
maybe it does,maybe,val
procedure to change oil in car,oil_change_how,val
way to change car oil,oil_change_how,val
how to change oil of a car,oil_change_how,val
how can i change car oil,oil_change_how,val
i want to know how to change oil tell me the steps one at a time while i work through it,oil_change_how,val
find step by step instructions on how to change my oil,oil_change_how,val
how do i change oil on a car,oil_change_how,val
where can i find a page showing my how to change my oil,oil_change_how,val
what weight oil do i need and how do i change the oil for my chevy truck,oil_change_how,val
what kind of oil do i need for my ford truck and how can i change it,oil_change_how,val
what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,oil_change_how,val
i need to know how to change my oil and what kind of oil for a 2007 trailblazer,oil_change_how,val
what oil do i need for my honda crv and how do i change it,oil_change_how,val
i need a tutorial to learn how to change my oil please,oil_change_how,val
what steps do i need to follow to change the oil in my car,oil_change_how,val
can you get me simple instructions on how to do an oil change,oil_change_how,val
i want to figure out how to do an oil change on my car,oil_change_how,val
can you teach me to change my oil,oil_change_how,val
can you tell me how to change my oil,oil_change_how,val
can you find some instructions on how to change my oil,oil_change_how,val
please reserve a table for 2 at luckys under the name melissa at 7 pm,restaurant_reservation,val
i would like to reserve a table for 2 at sams steakhouse under the name jessie at 6:30 pm,restaurant_reservation,val
help me reserve a table for 3 at luckys under the name crystal at 8 pm,restaurant_reservation,val
would you please schedule a reservation for 2 at luckys under the name sam at 7:30pm,restaurant_reservation,val
could you please reserve a table for 6 at lucilles under the name tom at 5pm,restaurant_reservation,val
is there a reservation available at ruth chris today,restaurant_reservation,val
are there 8pm tables available at texas roadhouse,restaurant_reservation,val
book a reservation for 3 at xenophobe under the name zebee,restaurant_reservation,val
i need to book a reservation for 3 at xenophobe under the name zebee,restaurant_reservation,val
book 3 under the name zebee at xenophobe,restaurant_reservation,val
what reservations are available for 3 people at the xenophobe,restaurant_reservation,val
under the name zebee book a reservation at the xenophobe for 3,restaurant_reservation,val
use the name wheeler to reserve a table for 3 at andreas steakhouse at 5pm,restaurant_reservation,val
make a reservation for wheeler party of 3 for 5pm at andreas steakhouse,restaurant_reservation,val
reserve a table for 3 at andreas steakhouse around 5pm under the name wheeler,restaurant_reservation,val
i need a table for 3 at 5pm at andreas steakhouse under wheeler,restaurant_reservation,val
reserve a table for 3 under the name wheeler at andreas steakhouse for 5pm,restaurant_reservation,val
book room for me and her under the name kendra,restaurant_reservation,val
allow me to turn on the lights,restaurant_reservation,val
make me a reservation for 5 people at village tavern for the calloways,restaurant_reservation,val
do i have more than $100 in my pnc account,balance,val
whats my pnc balance,balance,val
how much is in my pnc account,balance,val
how much money do i have in my pnc account,balance,val
what is the balance in my pnc account,balance,val
can i get beer within my deposit account,balance,val
is there enough in my savings account to get a new tv,balance,val
could be there be a good amount of money in my checking account to go on a vacation,balance,val
can i afford a new tv from my savings account,balance,val
will i have enough to get a new roku with my savings account,balance,val
do you think i have enough money in my chase account for a new pair of sneakers,balance,val
i hope i have enough money in my chase account to buy new clothes,balance,val
i am not sure if i have enough money in my chase account to buy a new dress,balance,val
i wonder if i have enough money in my chase account for a bike,balance,val
i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires,balance,val
please tell me how much money i have in my bank accounts,balance,val
i need to know how much money i have in all of my bank accounts,balance,val
how much money is in all of my bank accounts,balance,val
how much money is in my bank accounts,balance,val
can you tell me how much money i have i my bank accounts,balance,val
please double check my reservations for six at mani,confirm_reservation,val
confirm my johnny rockets reservation for this evening,confirm_reservation,val
confirm four for my reservation at fiji,confirm_reservation,val
make sure my flower bar reservation is scheduled for tomorrow,confirm_reservation,val
please double check on my reservations for buffalo wild wings at five for the game,confirm_reservation,val
i would like to try and confirm that i have a reservation at applebees for kristen,confirm_reservation,val
i would like to try and confirm that i have a reservation at chilis for bart,confirm_reservation,val
i would like to try and confirm that i have a reservation at longhorn for justin,confirm_reservation,val
i would like to try and confirm that i have a reservation at outback for josh,confirm_reservation,val
i would like to try and confirm that i have a reservation at carrabbas for heather,confirm_reservation,val
i want to confirm fridays reservation at 2:00,confirm_reservation,val
confirm my friday reservation at 2:00,confirm_reservation,val
i am here to conform my friday reservation at 2:00,confirm_reservation,val
you know the reservation i have on 2:00 friday i confirm it,confirm_reservation,val
id like to confirm the 2:00 reservation for friday,confirm_reservation,val
check to see if i am still booked to be eating at gusto handcrafted pasta & pizza at 6:30 pm,confirm_reservation,val
is my dinner reservation for gusto handcrafted pasta & pizza at 6:30 pm still valid,confirm_reservation,val
please call gusto handcrafted pasta & pizza and ask them about the status of my reservation for 6:30 pm,confirm_reservation,val
will you check to see if i am still reserved for 6:30 pm at gusto handcrafted pasta & pizza,confirm_reservation,val
please confirm my reservation for dinner at gusto handcrafted pasta & pizza at 6:30 pm,confirm_reservation,val
may you stop a paymet on my account,freeze_account,val
how we stop my account,freeze_account,val
can you place a stop on my account,freeze_account,val
can we stop my bank account,freeze_account,val
please put a block on my capital one account immediately,freeze_account,val
please put a block on my discover account immediately,freeze_account,val
please put a block on my regions account immediately,freeze_account,val
please put a block on my wells fargo account immediately,freeze_account,val
please put a block on my us bank account immediately,freeze_account,val
i need you to act swiftly and freeze all activity on my capital one checking,freeze_account,val
place a hold on my chase money market market account at once,freeze_account,val
i need to block all transactions from going through on my citi checking account straight away,freeze_account,val
please immediately block my navy federal credit union account,freeze_account,val
can you initiate a block on my bank of america checking asap,freeze_account,val
i need my savings account placed under a block as soon as possible,freeze_account,val
please put a hold on my retirement account right now,freeze_account,val
i need a block placed right away on my joint checking account,freeze_account,val
i want a block placed on my checking account right away,freeze_account,val
i want a block placed on my college fund account immediately,freeze_account,val
can you please freeze my account,freeze_account,val
will my 401k rollover,rollover_401k,val
will my 401k carryover,rollover_401k,val
will my 401k carryover or not,rollover_401k,val
can my 401k rollover or not,rollover_401k,val
could my 401k be rolled over,rollover_401k,val
can the 401k i have be rolled over,rollover_401k,val
