id,utt,intent,partition
227,what happened to my cellphone,find_phone,val
228,do you remember where i left my cellphone,find_phone,val
229,where is my cellphone,find_phone,val
230,do you know where my cellphone is,find_phone,val
231,i have lost my phone,find_phone,val
232,"help me, i don't know where my phone is",find_phone,val
233,tell me my phone's location,find_phone,val
234,where would my phone be,find_phone,val
235,i need to know my phone's location,find_phone,val
236,help locate my phone,find_phone,val
237,can you find me my phone,find_phone,val
238,track down my phone for me,find_phone,val
239,my phone is lost and i need help finding it,find_phone,val
240,is traveling to france safe,travel_alert,val
241,is france safe to travel to,travel_alert,val
242,i need to know is traveling to france safe,travel_alert,val
243,can i travel to france as far as safety goes,travel_alert,val
244,can i safely travel to france or is it dangerous,travel_alert,val
245,are there any current travel alerts for brazil,travel_alert,val
246,are there any travel alerts for seattle,travel_alert,val
247,how safe is it to travel to guatemala right now and are there any alerts,travel_alert,val
248,are there any travel alerts for juarez,travel_alert,val
249,what's the danger level of flying to russia right now,travel_alert,val
250,are there any travel alerts for antarctica,travel_alert,val
251,are there any travel alerts for mountain view,travel_alert,val
252,does mexico have any travel alerts i should know about,travel_alert,val
253,does greece currently have any travel alerts in place,travel_alert,val
254,are there any travel alerts for brazil,travel_alert,val
255,how safe is it to visit spain,travel_alert,val
256,how safe is visiting canada this week,travel_alert,val
257,have the riots in france triggered any alerts for people traveling to there,travel_alert,val
258,is there any danger going to brazil,travel_alert,val
259,is it safe to travel to mexico,travel_alert,val
260,please request pto for march 2 and 3,pto_request,val
261,i am requesting pto for march 2 and 3,pto_request,val
262,can you please request pto for march 2 and 3,pto_request,val
263,i would like to request pto for march 2 and 3,pto_request,val
264,i need to request pto for march 2 and 3,pto_request,val
265,let me know how to make a vacation request,pto_request,val
266,i need to make a vacation request; how,pto_request,val
267,can i put in a pto request for may 1 to may 5,pto_request,val
268,tell me how to make a vacation request,pto_request,val
269,i would like to know if i can put a pto request in for march 19 to march 20,pto_request,val
270,am i able to put in a pto request for may 6 to may 18,pto_request,val
271,provide assistance on what to do to make a vacation request,pto_request,val
272,i need to know how to make a vacation request,pto_request,val
273,i need to know if i can put a pto request in for march 10 to march 12,pto_request,val
274,tell me whether i can put a pto request in for may 10 to may 15,pto_request,val
275,what is the process for making a vacation request,pto_request,val
276,what's the method for requesting a vacation,pto_request,val
277,what are the steps required for making a vacation request,pto_request,val
278,please help me make a request for vacation,pto_request,val
279,i have a vacation request that i need made,pto_request,val
280,what are some ways to raise my credit score,improve_credit_score,val
281,what will help my credit score,improve_credit_score,val
282,are there any videos on how to repair my credit score,improve_credit_score,val
283,what can i do to get a better credit score,improve_credit_score,val
284,will getting a credit card help my credit score,improve_credit_score,val
285,what are the top 10 ways to build my credit score,improve_credit_score,val
286,how can i build up my credit score,improve_credit_score,val
287,how can i build my credit score,improve_credit_score,val
288,what are some easy ways to make my credit score better,improve_credit_score,val
289,how do i prevent my credit score from dropping,improve_credit_score,val
290,how should i go about improving my credit score,improve_credit_score,val
291,how can i make sure that my credit score does not decrease,improve_credit_score,val
292,what is the best way to insure that my credit score doesn't decrease,improve_credit_score,val
293,what things can i do to increase my credit score,improve_credit_score,val
294,what is the best way to keep my credit score from going down,improve_credit_score,val
295,what is the best thing for me to do to improve my credit score quickly,improve_credit_score,val
296,how can i safeguard my credit score from dropping,improve_credit_score,val
297,do i have options on how to improve my credit score,improve_credit_score,val
298,what steps can i take to improve my credit score,improve_credit_score,val
299,show me a plan to help my credit score rating,improve_credit_score,val
300,tell me something interesting about lake tahoe,fun_fact,val
301,tell me a cool fact about reno,fun_fact,val
302,tell me something interesting about new york state,fun_fact,val
303,give me a cool fact about new orleans,fun_fact,val
304,give me a cool fact about seattle,fun_fact,val
305,tell me something interesting about elephants,fun_fact,val
306,tell me something interesting about dogs,fun_fact,val
307,give me a cool fact about potatoes,fun_fact,val
308,give me a cool fact about puppies,fun_fact,val
309,give me a cool fact about lsd,fun_fact,val
310,tell me a fun fact about the moon landing,fun_fact,val
311,what's a fun fact about axolotls,fun_fact,val
312,tell me a fact about the maned wolf,fun_fact,val
313,give me harry potter trivia,fun_fact,val
314,tell me an axolotl fact,fun_fact,val
315,i need a spider fact,fun_fact,val
316,show me trivia about cats,fun_fact,val
317,read me some different cat trivia items,fun_fact,val
318,find me cat trivia now please,fun_fact,val
319,read me cat trivia,fun_fact,val
320,i need new language,change_language,val
321,switch language for me,change_language,val
322,please change your language setting to russian,change_language,val
323,you must change your language setting to russian,change_language,val
324,you need to change your language setting to russian please,change_language,val
325,change language please,change_language,val
326,please change your language setting to spanish now,change_language,val
327,change your language setting to spanish,change_language,val
328,i want new language,change_language,val
329,please change the language,change_language,val
330,speak arabic,change_language,val
331,speak navajo,change_language,val
332,speak german,change_language,val
333,speak french,change_language,val
334,speak mandarin,change_language,val
335,change response language from mandarin to english,change_language,val
336,please respond to me in english from now on,change_language,val
337,please change your response language to english,change_language,val
338,how can i change your response language,change_language,val
339,change the language to english,change_language,val
340,when's the next time i get paid,payday,val
341,when's my next paycheck coming in,payday,val
342,what's the date of my next paycheck,payday,val
343,when do i get my paycheck,payday,val
344,which day is pay day,payday,val
345,which day is it that my payment comes in,payday,val
346,when am i paid or how often,payday,val
347,how many days until i get my payment,payday,val
348,what was the last check date,payday,val
349,when was i paid most recently,payday,val
350,what was the date of my last paycheck,payday,val
351,when did i get my check last,payday,val
352,how long has it been since i was paid,payday,val
353,how many times do i get paid in march,payday,val
354,what date is the next payday,payday,val
355,i am trying to find out when is the next payday,payday,val
356,what date is the next day i get paid,payday,val
357,when is the next payday,payday,val
358,what is my pay,payday,val
359,how much is on my paycheck this week,payday,val
360,what's the time of arrival on my new credit card,replacement_card_duration,val
361,tell me the duration it takes to get a new cc,replacement_card_duration,val
362,is it a short time before i receive my new credit card,replacement_card_duration,val
363,how long before my updated cc takes to arrive,replacement_card_duration,val
364,how long does it take a new card to arrive in the mail to me,replacement_card_duration,val
365,what is the length of time it takes a new card to get mailed to me,replacement_card_duration,val
366,about how long does it usually take a new card to get mailed to me,replacement_card_duration,val
367,how much time does it take a new card to get mailed to me,replacement_card_duration,val
368,how soon does it take a card new card to get mailed to me,replacement_card_duration,val
369,"after losing a credit card, how long does it take to get a new one",replacement_card_duration,val
370,"if i lose my credit card, will i get a replacement immediately",replacement_card_duration,val
371,what is the time frame for receiving a new credit card if my original one gets lost,replacement_card_duration,val
372,will i have to wait a long time to receive my new credit card after i lost my old one,replacement_card_duration,val
373,how long should i expect to wait for my replacement credit card,replacement_card_duration,val
374,will my new credit card be here this week,replacement_card_duration,val
375,how long does it usually take for a new credit card to come,replacement_card_duration,val
376,what is the eta on getting a replacement card,replacement_card_duration,val
377,show tracking information on my replacement credit card,replacement_card_duration,val
378,when will i get my replacement card,replacement_card_duration,val
379,will it take more than a month to get a new card,replacement_card_duration,val
380,what time is it in france,time,val
381,what's the time in london right now,time,val
382,what hour is it in london,time,val
383,what's the time,time,val
384,what is the time in london,time,val
385,i need to know what time it is,time,val
386,what time of day is it in london,time,val
387,tell me what time it is,time,val
388,what time of day is it,time,val
389,what time is it in the pacific timezone,time,val
390,what time is it in pacific standard time,time,val
391,what time is it over in pacific time,time,val
392,what time is in over there in pacific standard time,time,val
393,what time is it in the pacific standard time,time,val
394,what is the time in paris now,time,val
395,time in manhattan,time,val
396,how late is it now in ourense,time,val
397,what is the current time right now in hollywood,time,val
398,what time is it now in michigan,time,val
399,what's the clock say,time,val
400,what is the present status of my credit card application,application_status,val
401,what is the current status of my credit card application,application_status,val
402,in what status is my credit card application currently in,application_status,val
403,how far along is my credit card application,application_status,val
404,what is the status of my credit card application looking like,application_status,val
405,pull up my credit card application's current status,application_status,val
406,has my credit card application processed yet,application_status,val
407,check the status of my credit card application please,application_status,val
408,has my card application successfully gone through,application_status,val
409,go to the credit card site and check if my application has gone through,application_status,val
410,has my credit card application been approved yet,application_status,val
411,can you check on the status of my credit card application,application_status,val
412,i would like to know if my visa card application has been approved,application_status,val
413,can you let me know if my visa card has been approved,application_status,val
414,at what point will the review of my credit card application be completed,application_status,val
415,can you check if my mastercard application has been reviewed yet,application_status,val
416,has my visa card application been approved yet,application_status,val
417,please let me know how my credit card application is going,application_status,val
418,when will my credit card application be reviewed,application_status,val
419,please let me know if my discover card application has been approved,application_status,val
420,when is my flight going to board,flight_status,val
421,when am i boarding my flight,flight_status,val
422,at what time should i be boarding my flight,flight_status,val
423,can you please update the status of flight dl123,flight_status,val
424,when is the expected arrival of flight dl123,flight_status,val
425,is flight dl123 due to land as schedule,flight_status,val
426,will flight dl123 be on time,flight_status,val
427,are there any expected delays for flight dl123,flight_status,val
428,i would like to know flight dl123's status,flight_status,val
429,tell me flight dl123's statud,flight_status,val
430,for flight dl123 what's the status,flight_status,val
431,could you tell me the status of flight dl123,flight_status,val
432,when is my flight expected to arrive,flight_status,val
433,at what time is my flight scheduled to land,flight_status,val
434,what time is my flight going to land,flight_status,val
435,ostensibly when is my flight going to land,flight_status,val
436,when is my flight going to arrive,flight_status,val
437,what time does my flight board,flight_status,val
438,what is the boarding time for my upcoming flight,flight_status,val
439,when is my flight boarding,flight_status,val
440,flip a normal coin,flip_coin,val
441,flip a heads or tails coin i pick heads,flip_coin,val
442,"flip a coin, i choose heads",flip_coin,val
443,please flip a coin - i call heads,flip_coin,val
444,can you flip a coin i pick heads,flip_coin,val
445,please flip coin ai,flip_coin,val
446,flip a coin now,flip_coin,val
447,please flip a coin,flip_coin,val
448,i need you to flip a coin,flip_coin,val
449,flip coin ai,flip_coin,val
450,please go ahead and flip a coin,flip_coin,val
451,flip the coin ai,flip_coin,val
452,please flip coin,flip_coin,val
453,i wanna flip a coin,flip_coin,val
454,please flip the coin,flip_coin,val
455,please flip the coin over ai,flip_coin,val
456,i'm wanting you to flip a coin,flip_coin,val
457,flip me a coin,flip_coin,val
458,i want you to flip a coin now,flip_coin,val
459,i call tails and you call heads on this coin flip i need you to do,flip_coin,val
460,will you start calling me chaz,change_user_name,val
461,stop calling me charlie and from now on always call me chip,change_user_name,val
462,"from now on, refer to me as chuck",change_user_name,val
463,please call me charlile from here on out ok,change_user_name,val
464,i want you to call me a different name so can you call me charchar,change_user_name,val
465,please change my name to tom,change_user_name,val
466,"from now on, my name is tom",change_user_name,val
467,i want to be called tom,change_user_name,val
468,please call me tom,change_user_name,val
469,you can call me jason,change_user_name,val
470,my name is jason,change_user_name,val
471,jason is my name,change_user_name,val
472,i prefer to be called jason,change_user_name,val
473,i am jason,change_user_name,val
474,you shall address me as nick,change_user_name,val
475,my name is nick,change_user_name,val
476,refer to me as nick,change_user_name,val
477,the name is nick,change_user_name,val
478,you could say my name is nick,change_user_name,val
479,i am camile,change_user_name,val
480,what place were you born at,where_are_you_from,val
481,where were you born as a kid,where_are_you_from,val
482,tell me where you were created,where_are_you_from,val
483,what place were you made at,where_are_you_from,val
484,what place were you actually born at,where_are_you_from,val
485,what place do you come from,where_are_you_from,val
486,where do you hale from,where_are_you_from,val
487,what place were you born,where_are_you_from,val
488,where are you from before you got here,where_are_you_from,val
489,let me know when you were made,where_are_you_from,val
490,where you from,where_are_you_from,val
491,where are you from if i may ask,where_are_you_from,val
492,where are you from oroginally,where_are_you_from,val
493,where are you originally from before coming here,where_are_you_from,val
494,what's your home town,where_are_you_from,val
495,what country are you from,where_are_you_from,val
496,are you from here,where_are_you_from,val
497,were you made here,where_are_you_from,val
498,where did you come from,where_are_you_from,val
499,you were made where,where_are_you_from,val
500,"i'm not sure if watermelon is on my shopping list, but if it isn't can you put it on there",shopping_list_update,val
501,is it possible to add grapes to my shopping list if they aren't on there already,shopping_list_update,val
502,please add bananas to my shopping list unless i already did,shopping_list_update,val
503,can you add apples to my shopping list if they aren't already on there,shopping_list_update,val
504,would you be willing to add bread to my shopping list if i haven't already,shopping_list_update,val
505,"i'm out of cleaning supplies, remind me on my list",shopping_list_update,val
506,"i don't have any more steak, please put that on my grocery list",shopping_list_update,val
507,"i'm out of apples, add that to my list",shopping_list_update,val
508,"i have no oranges, put them onto my list",shopping_list_update,val
509,do i have peanuts on my shopping list if not please add it,shopping_list_update,val
510,do i have soda on my shopping list if not please add it,shopping_list_update,val
511,i'm out of kleenex so will you put that on my shopping list,shopping_list_update,val
512,i'm out of paper towels so will you put that on my shopping list,shopping_list_update,val
513,i'm out of toilet paper so will you put that on my shopping list,shopping_list_update,val
514,do i have graham crackers on my shopping list if not please add it,shopping_list_update,val
515,i'm out of clorox wipes so will you put that on my shopping list,shopping_list_update,val
516,do i have tortillas on my shopping list if not please add it,shopping_list_update,val
517,i'm out of laundry detergent so will you put that on my shopping list,shopping_list_update,val
518,do i have cheese on my shopping list if not please add it,shopping_list_update,val
519,i'd like you to add oranges to my shopping list,shopping_list_update,val
520,what categories of questions can you answer,what_can_i_ask_you,val
521,what kind of questions can i ask the ai,what_can_i_ask_you,val
522,can you tell me what i can ask the ai,what_can_i_ask_you,val
523,what types of things can i ask the ai,what_can_i_ask_you,val
524,what kind of things can i ask the ai,what_can_i_ask_you,val
525,what can i ask the ai,what_can_i_ask_you,val
526,what questions can you answer,what_can_i_ask_you,val
527,what am i allowed to ask you,what_can_i_ask_you,val
528,what all can i ask you,what_can_i_ask_you,val
529,what are you capable of doing and answering,what_can_i_ask_you,val
530,what are you capable of answering,what_can_i_ask_you,val
531,what kinds of subjects do you know about,what_can_i_ask_you,val
532,what are the different subjects that you know,what_can_i_ask_you,val
533,which kinds of info are you familiar with,what_can_i_ask_you,val
534,what kind of information do you know,what_can_i_ask_you,val
535,which subjects can you tell me about,what_can_i_ask_you,val
536,can i ask you all different types of questions,what_can_i_ask_you,val
537,can you answer all types of questions,what_can_i_ask_you,val
538,what topics can you answer questions on,what_can_i_ask_you,val
539,what kind of questions can you answer,what_can_i_ask_you,val
540,i do not have that information,maybe,val
541,i can't give you an answer to that,maybe,val
542,i do not know the answer to that,maybe,val
543,perhaps,maybe,val
544,possibly either one,maybe,val
545,i don't have any idea,maybe,val
546,can't say,maybe,val
547,i couldn't say either could be possible,maybe,val
548,which one i don't know either i guess,maybe,val
549,i just don't know,maybe,val
550,don't have any idea,maybe,val
551,i couldn't say,maybe,val
552,i don't know the anwser,maybe,val
553,couldn't tell you,maybe,val
554,either i am not sure,maybe,val
555,either of them could be i'm not sure,maybe,val
556,don't know,maybe,val
557,idk,maybe,val
558,i don't have an answer for that,maybe,val
559,maybe it does,maybe,val
560,procedure to change oil in car,oil_change_how,val
561,way to change car oil,oil_change_how,val
562,how to change oil of a car,oil_change_how,val
563,how can i change car oil,oil_change_how,val
564,"i want to know how to change oil, tell me the steps one at a time while i work through it",oil_change_how,val
565,find step by step instructions on how to change my oil,oil_change_how,val
566,how do i change oil on a car,oil_change_how,val
567,where can i find a page showing my how to change my oil,oil_change_how,val
568,what weight oil do i need and how do i change the oil for my chevy truck,oil_change_how,val
569,what kind of oil do i need for my ford truck and how can i change it,oil_change_how,val
570,what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,oil_change_how,val
571,i need to know how to change my oil and what kind of oil for a 2007 trailblazer,oil_change_how,val
572,what oil do i need for my honda crv and how do i change it,oil_change_how,val
573,"i need a tutorial to learn how to change my oil, please",oil_change_how,val
574,what steps do i need to follow to change the oil in my car,oil_change_how,val
575,can you get me simple instructions on how to do an oil change,oil_change_how,val
576,i want to figure out how to do an oil change on my car,oil_change_how,val
577,can you teach me to change my oil,oil_change_how,val
578,can you tell me how to change my oil,oil_change_how,val
579,can you find some instructions on how to change my oil,oil_change_how,val
580,please reserve a table for 2 at lucky's under the name melissa at 7 pm,restaurant_reservation,val
581,i would like to reserve a table for 2 at sam's steakhouse under the name jessie at 6:30 pm,restaurant_reservation,val
582,help me reserve a table for 3 at lucky's under the name crystal at 8 pm,restaurant_reservation,val
583,would you please schedule a reservation for 2 at lucky's under the name sam at 7:30pm,restaurant_reservation,val
584,could you please reserve a table for 6 at lucille's under the name tom at 5pm,restaurant_reservation,val
585,is there a reservation available at ruth chris today,restaurant_reservation,val
586,are there 8pm tables available at texas roadhouse,restaurant_reservation,val
587,book a reservation for 3 at xenophobe under the name zebee,restaurant_reservation,val
588,i need to book a reservation for 3 at xenophobe under the name zebee,restaurant_reservation,val
589,book 3 under the name zebee at xenophobe,restaurant_reservation,val
590,what reservations are available for 3 people at the xenophobe,restaurant_reservation,val
591,under the name zebee book a reservation at the xenophobe for 3,restaurant_reservation,val
592,use the name wheeler to reserve a table for 3 at andrea's steakhouse at 5pm,restaurant_reservation,val
593,make a reservation for wheeler party of 3 for 5pm at andrea's steakhouse,restaurant_reservation,val
594,reserve a table for 3 at andrea's steakhouse around 5pm under the name wheeler,restaurant_reservation,val
595,i need a table for 3 at 5pm at andrea's steakhouse under wheeler,restaurant_reservation,val
596,reserve a table for 3 under the name wheeler at andrea's steakhouse for 5pm,restaurant_reservation,val
597,book room for me and her under the name kendra,restaurant_reservation,val
598,allow me to turn on the lights,restaurant_reservation,val
599,make me a reservation for 5 people at village tavern for the calloways,restaurant_reservation,val
600,do i have more than $100 in my pnc account,balance,val
601,what's my pnc balance,balance,val
602,how much is in my pnc account,balance,val
603,how much money do i have in my pnc account,balance,val
604,what is the balance in my pnc account,balance,val
605,can i get beer within my deposit account,balance,val
606,is there enough in my savings account to get a new tv,balance,val
607,could be there be a good amount of money in my checking account to go on a vacation,balance,val
608,can i afford a new tv from my savings account,balance,val
609,will i have enough to get a new roku with my savings account,balance,val
610,do you think i have enough money in my chase account for a new pair of sneakers,balance,val
611,i hope i have enough money in my chase account to buy new clothes,balance,val
612,i am not sure if i have enough money in my chase account to buy a new dress,balance,val
613,i wonder if i have enough money in my chase account for a bike,balance,val
614,i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires,balance,val
615,please tell me how much money i have in my bank accounts,balance,val
616,i need to know how much money i have in all of my bank accounts,balance,val
